order_id,customer_id,order_date,status,channel
1,127,2025-01-01,Completed,Store
2,176,2025-01-01,Completed,Store
3,16,2025-01-01,Completed,Marketplace
4,15,2025-01-01,Completed,Store
5,64,2025-01-02,Completed,Store
6,12,2025-01-02,Completed,Web
7,10,2025-01-02,Completed,Web
8,137,2025-01-03,Completed,Store
9,141,2025-01-03,Returned,Store
10,23,2025-01-04,Completed,Store
11,88,2025-01-04,Completed,Web
12,132,2025-01-04,Completed,Web
13,91,2025-01-05,Completed,Store
14,23,2025-01-06,Completed,Store
15,155,2025-01-07,Completed,Marketplace
16,208,2025-01-07,Completed,Store
17,228,2025-01-07,Completed,Marketplace
18,17,2025-01-08,Completed,Marketplace
19,215,2025-01-08,Completed,Web
20,151,2025-01-08,Completed,Marketplace
21,173,2025-01-09,Completed,Web
22,227,2025-01-09,Completed,Store
23,187,2025-01-09,Completed,Web
24,83,2025-01-10,Cancelled,Web
25,101,2025-01-11,Completed,Marketplace
26,49,2025-01-11,Completed,Marketplace
27,115,2025-01-12,Completed,Store
28,114,2025-01-12,Completed,Marketplace
29,91,2025-01-13,Completed,Web
30,193,2025-01-13,Cancelled,Store
31,145,2025-01-13,Completed,Marketplace
32,83,2025-01-13,Completed,Store
33,13,2025-01-14,Completed,Store
34,220,2025-01-14,Completed,Web
35,187,2025-01-14,Completed,Marketplace
36,90,2025-01-14,Completed,Web
37,192,2025-01-15,Completed,Web
38,56,2025-01-15,Completed,Web
39,70,2025-01-16,Cancelled,Web
40,96,2025-01-16,Completed,Store
41,86,2025-01-16,Completed,Web
42,200,2025-01-17,Completed,Marketplace
43,78,2025-01-17,Completed,Web
44,185,2025-01-18,Completed,Web
45,207,2025-01-18,Cancelled,Store
46,29,2025-01-18,Completed,Web
47,112,2025-01-19,Completed,Store
48,124,2025-01-19,Completed,Web
49,97,2025-01-20,Completed,Store
50,69,2025-01-20,Returned,Store
51,206,2025-01-20,Completed,Store
52,37,2025-01-21,Completed,Web
53,211,2025-01-21,Completed,Store
54,11,2025-01-21,Completed,Marketplace
55,87,2025-01-21,Cancelled,Marketplace
56,119,2025-01-22,Completed,Marketplace
57,94,2025-01-22,Completed,Marketplace
58,174,2025-01-22,Completed,Web
59,87,2025-01-23,Completed,Store
60,141,2025-01-23,Completed,Marketplace
61,238,2025-01-23,Completed,Store
62,14,2025-01-24,Completed,Store
63,125,2025-01-24,Cancelled,Web
64,10,2025-01-24,Completed,Marketplace
65,89,2025-01-25,Completed,Web
66,105,2025-01-25,Completed,Store
67,165,2025-01-25,Returned,Marketplace
68,216,2025-01-26,Completed,Store
69,168,2025-01-26,Completed,Web
70,152,2025-01-26,Completed,Marketplace
71,79,2025-01-26,Completed,Store
72,107,2025-01-27,Completed,Marketplace
73,197,2025-01-27,Completed,Web
