review_month,review_count,average_rating,negative_rate
2025-08,288,3.6944444444444446,0.19791666666666666
2025-09,274,3.6934306569343067,0.17518248175182483
2025-10,338,3.798816568047337,0.15680473372781065
2025-11,323,3.764705882352941,0.20743034055727555
2025-12,340,3.7852941176470587,0.16176470588235295
2026-01,305,3.6,0.19344262295081968
2026-02,296,3.8986486486486487,0.16216216216216217
2026-03,267,3.7191011235955056,0.20599250936329588
2026-04,292,3.6678082191780823,0.19863013698630136
2026-05,281,3.7437722419928825,0.21352313167259787
2026-06,285,3.814035087719298,0.17543859649122806
2026-07,311,3.581993569131833,0.2315112540192926
